# lambda	flux	error	variance	counts	eig1	eig2	eig3	eig4	eig5
3550	7.9586E-001	2.8746E-003	1.3100E-001	2077	-1.0555E-002	7.3979E-003	-8.2171E-003	5.0810E-002	1.9111E-002
3551	7.9561E-001	2.8690E-003	1.3358E-001	2168	-1.0792E-002	4.9269E-003	-7.7970E-003	5.4408E-002	2.6653E-002
3552	7.8750E-001	2.7050E-003	1.2818E-001	2245	-9.0998E-003	5.6975E-003	-4.4565E-003	5.1463E-002	2.6772E-002
3553	7.7988E-001	2.7363E-003	1.3219E-001	2334	-1.0931E-002	8.1048E-003	-8.8087E-003	4.5856E-002	1.9175E-002
3554	7.7235E-001	2.6912E-003	1.3193E-001	2403	-1.0095E-002	8.3131E-003	-7.6915E-003	4.6188E-002	2.3351E-002
3555	7.6011E-001	2.7007E-003	1.3457E-001	2483	-1.1384E-002	8.7046E-003	-4.1959E-003	4.6889E-002	1.8427E-002
3556	7.5487E-001	2.7405E-003	1.3882E-001	2566	-1.1014E-002	8.2339E-003	-4.9158E-003	5.3310E-002	1.0391E-002
3557	7.6273E-001	2.6980E-003	1.3891E-001	2651	-9.6762E-003	8.5038E-003	-5.4467E-003	5.2869E-002	2.2128E-002
3558	7.7065E-001	2.6527E-003	1.3821E-001	2715	-9.9552E-003	8.5906E-003	-5.3012E-003	5.2881E-002	2.4383E-002
3559	7.6295E-001	2.5496E-003	1.3457E-001	2786	-1.0856E-002	7.0345E-003	-5.2121E-003	4.4473E-002	1.8334E-002
3560	7.6997E-001	2.6503E-003	1.4177E-001	2861	-1.1005E-002	8.4310E-003	-7.7821E-003	5.0113E-002	2.3503E-002
3561	7.7103E-001	2.5861E-003	1.4034E-001	2945	-9.7610E-003	8.4708E-003	-6.8025E-003	5.1032E-002	2.1649E-002
3562	7.7121E-001	2.6397E-003	1.4510E-001	3021	-1.0762E-002	9.4677E-003	-5.7373E-003	4.9419E-002	2.1302E-002
3563	7.7998E-001	2.5380E-003	1.4097E-001	3085	-9.8104E-003	9.4798E-003	-6.6440E-003	4.8864E-002	1.8806E-002
3564	7.8446E-001	2.5614E-003	1.4410E-001	3165	-1.0119E-002	9.2903E-003	-7.8746E-003	5.0074E-002	2.2376E-002
3565	7.6073E-001	2.5290E-003	1.4403E-001	3243	-1.0695E-002	8.3443E-003	-6.6235E-003	5.2950E-002	1.8835E-002
3566	7.3140E-001	2.5338E-003	1.4596E-001	3318	-1.1415E-002	7.0616E-003	-7.6644E-003	4.8294E-002	1.6384E-002
3567	7.2472E-001	2.5324E-003	1.4741E-001	3388	-1.2006E-002	6.9728E-003	-9.3313E-003	4.9797E-002	1.9937E-002
3568	7.3233E-001	2.4660E-003	1.4464E-001	3440	-1.2218E-002	8.6311E-003	-6.6814E-003	4.3856E-002	1.7140E-002
3569	7.2846E-001	2.4819E-003	1.4682E-001	3500	-1.2425E-002	9.8724E-003	-8.3781E-003	4.5789E-002	1.5045E-002
3570	7.2238E-001	2.4599E-003	1.4690E-001	3566	-1.2355E-002	7.8807E-003	-9.7517E-003	4.6370E-002	1.4178E-002
3571	7.1679E-001	2.4990E-003	1.5041E-001	3623	-1.2611E-002	8.0697E-003	-8.6315E-003	4.8335E-002	1.4175E-002
3572	7.2271E-001	2.4594E-003	1.4945E-001	3693	-1.2257E-002	9.1463E-003	-9.9888E-003	4.8721E-002	1.6145E-002
3573	7.2865E-001	2.4704E-003	1.5120E-001	3746	-1.2606E-002	7.9560E-003	-7.5385E-003	5.0262E-002	1.8345E-002
3574	7.3881E-001	2.3727E-003	1.4633E-001	3804	-1.1352E-002	6.8008E-003	-6.0224E-003	4.7306E-002	1.9746E-002
3575	7.4012E-001	2.4047E-003	1.4948E-001	3864	-1.2044E-002	7.0836E-003	-7.9923E-003	4.7825E-002	1.9544E-002
3576	7.4609E-001	2.4107E-003	1.5112E-001	3930	-1.2461E-002	7.9072E-003	-5.9103E-003	4.5902E-002	1.7927E-002
3577	7.4423E-001	2.3532E-003	1.4834E-001	3974	-1.1731E-002	8.6635E-003	-7.0698E-003	4.4979E-002	1.8070E-002
3578	7.4129E-001	2.3485E-003	1.4901E-001	4026	-1.1727E-002	8.7479E-003	-8.2392E-003	4.7163E-002	1.7932E-002
3579	7.3794E-001	2.4167E-003	1.5455E-001	4090	-1.2080E-002	9.9100E-003	-8.8628E-003	4.9907E-002	1.8862E-002
3580	7.3486E-001	2.3952E-003	1.5448E-001	4159	-1.2041E-002	8.8609E-003	-8.9113E-003	5.0647E-002	2.0986E-002
3581	7.2117E-001	2.3685E-003	1.5387E-001	4221	-1.3157E-002	8.8525E-003	-8.8798E-003	4.4568E-002	1.4018E-002
3582	7.0794E-001	2.3213E-003	1.5168E-001	4270	-1.3504E-002	6.6123E-003	-9.5911E-003	4.4270E-002	1.3621E-002
3583	7.1426E-001	2.3091E-003	1.5173E-001	4318	-1.2534E-002	8.1828E-003	-7.9843E-003	4.5346E-002	1.5781E-002
3584	7.1417E-001	2.2758E-003	1.5046E-001	4371	-1.1958E-002	9.0640E-003	-7.5363E-003	4.6238E-002	1.7421E-002
3585	7.0550E-001	2.2702E-003	1.5089E-001	4418	-1.2421E-002	7.8349E-003	-8.1398E-003	4.2564E-002	1.4982E-002
3586	6.8656E-001	2.2909E-003	1.5314E-001	4468	-1.2111E-002	7.0954E-003	-9.8703E-003	4.8844E-002	1.3521E-002
3587	6.7996E-001	2.2258E-003	1.4947E-001	4510	-1.2399E-002	7.3988E-003	-7.4687E-003	4.9210E-002	1.1458E-002
3588	6.8552E-001	2.2483E-003	1.5166E-001	4551	-1.2475E-002	8.3672E-003	-7.7275E-003	4.7503E-002	1.2049E-002
3589	6.9994E-001	2.2606E-003	1.5316E-001	4591	-1.2161E-002	8.1680E-003	-8.2016E-003	4.6549E-002	1.5315E-002
3590	7.1449E-001	2.2415E-003	1.5274E-001	4643	-1.2145E-002	8.0598E-003	-8.2951E-003	4.6428E-002	1.5358E-002
3591	7.3740E-001	2.1991E-003	1.5054E-001	4686	-1.1201E-002	8.1217E-003	-8.2252E-003	4.8449E-002	1.4685E-002
3592	7.5130E-001	2.2009E-003	1.5122E-001	4721	-1.0709E-002	9.2764E-003	-7.5374E-003	4.8665E-002	1.7199E-002
3593	7.5746E-001	2.2009E-003	1.5217E-001	4781	-1.1362E-002	8.2807E-003	-9.0996E-003	4.7148E-002	1.3665E-002
3594	7.5830E-001	2.1939E-003	1.5223E-001	4815	-1.1621E-002	7.9202E-003	-7.6696E-003	4.4437E-002	1.3231E-002
3595	7.5761E-001	2.2134E-003	1.5425E-001	4856	-1.1914E-002	8.8212E-003	-5.8018E-003	4.7083E-002	1.5089E-002
3596	7.6770E-001	2.2193E-003	1.5519E-001	4890	-1.0818E-002	9.2859E-003	-7.2306E-003	5.1339E-002	1.7462E-002
3597	7.8069E-001	2.1730E-003	1.5251E-001	4926	-1.0412E-002	9.0843E-003	-6.3106E-003	4.8951E-002	1.9937E-002
3598	7.8735E-001	2.1943E-003	1.5460E-001	4964	-1.0673E-002	9.0650E-003	-7.3398E-003	5.1821E-002	1.9656E-002
3599	7.8759E-001	2.2364E-003	1.5818E-001	5003	-1.0906E-002	8.9736E-003	-6.9253E-003	5.2291E-002	2.2488E-002
3600	7.9043E-001	2.1936E-003	1.5577E-001	5043	-1.0813E-002	8.9228E-003	-6.2833E-003	4.9696E-002	2.2610E-002
3601	7.8737E-001	2.1986E-003	1.5656E-001	5071	-1.1137E-002	8.5416E-003	-8.3505E-003	5.1042E-002	2.1920E-002
3602	7.7008E-001	2.1626E-003	1.5449E-001	5103	-1.1485E-002	8.8389E-003	-8.2176E-003	5.2380E-002	2.0647E-002
3603	7.4937E-001	2.1351E-003	1.5310E-001	5142	-1.1230E-002	8.2953E-003	-9.7340E-003	4.9826E-002	1.4570E-002
3604	7.4126E-001	2.1077E-003	1.5152E-001	5168	-1.1399E-002	8.4852E-003	-7.0855E-003	4.5101E-002	1.2628E-002
3605	7.3257E-001	2.0942E-003	1.5110E-001	5206	-1.0888E-002	8.2755E-003	-7.7183E-003	4.5529E-002	1.3411E-002
3606	7.3835E-001	2.1402E-003	1.5478E-001	5230	-1.1696E-002	7.4242E-003	-8.0913E-003	4.8126E-002	1.8357E-002
3607	7.4297E-001	2.1274E-003	1.5424E-001	5256	-1.1872E-002	7.7843E-003	-9.7538E-003	4.7062E-002	1.5023E-002
3608	7.3974E-001	2.0761E-003	1.5098E-001	5288	-1.1158E-002	7.6707E-003	-9.0772E-003	4.4848E-002	1.7964E-002
3609	7.2981E-001	2.1296E-003	1.5536E-001	5322	-1.2420E-002	7.8423E-003	-9.6175E-003	4.8213E-002	1.5977E-002
3610	7.1759E-001	2.1372E-003	1.5641E-001	5356	-1.2887E-002	8.9061E-003	-8.5298E-003	4.7340E-002	1.2879E-002
3611	7.2599E-001	2.1200E-003	1.5564E-001	5390	-1.2182E-002	8.2934E-003	-7.9501E-003	4.8763E-002	1.7766E-002
3612	7.3469E-001	2.1234E-003	1.5639E-001	5425	-1.1641E-002	8.0070E-003	-8.9821E-003	4.8817E-002	1.7583E-002
3613	7.3584E-001	2.1294E-003	1.5720E-001	5450	-1.1757E-002	8.4721E-003	-8.0356E-003	4.7677E-002	1.4890E-002
3614	7.3763E-001	2.0902E-003	1.5474E-001	5480	-1.1425E-002	8.0090E-003	-8.1813E-003	4.8814E-002	1.5081E-002
3615	7.4715E-001	2.0471E-003	1.5191E-001	5507	-1.1133E-002	8.1631E-003	-8.5555E-003	4.6709E-002	1.5552E-002
3616	7.5936E-001	2.0871E-003	1.5526E-001	5534	-1.1138E-002	9.1030E-003	-6.8670E-003	4.8464E-002	1.7802E-002
3617	7.5788E-001	2.0710E-003	1.5437E-001	5556	-1.0957E-002	9.6233E-003	-7.2547E-003	4.7498E-002	1.8589E-002
3618	7.3728E-001	2.0944E-003	1.5645E-001	5580	-1.2184E-002	8.2469E-003	-9.1761E-003	4.6186E-002	1.5321E-002
3619	7.1277E-001	2.0758E-003	1.5542E-001	5606	-1.2579E-002	6.1511E-003	-9.0110E-003	4.3961E-002	1.3366E-002
3620	7.0985E-001	2.0813E-003	1.5612E-001	5627	-1.2964E-002	6.2887E-003	-1.0538E-002	4.7367E-002	1.3301E-002
3621	7.2262E-001	2.0476E-003	1.5395E-001	5653	-1.2242E-002	7.3228E-003	-8.3966E-003	4.8007E-002	1.3538E-002
3622	7.4428E-001	2.0160E-003	1.5191E-001	5678	-1.1617E-002	8.3203E-003	-6.6709E-003	4.6756E-002	1.6665E-002
3623	7.5632E-001	2.0267E-003	1.5314E-001	5709	-1.1304E-002	8.3203E-003	-8.3346E-003	4.7204E-002	1.6808E-002
3624	7.6337E-001	2.0395E-003	1.5448E-001	5737	-1.1139E-002	8.7544E-003	-8.5778E-003	5.0425E-002	1.6680E-002
3625	7.6918E-001	2.0136E-003	1.5278E-001	5757	-1.0434E-002	8.4840E-003	-5.2044E-003	4.9417E-002	1.6999E-002
3626	7.7965E-001	2.0036E-003	1.5236E-001	5783	-1.0193E-002	8.5985E-003	-6.2887E-003	4.9116E-002	1.8154E-002
3627	7.9176E-001	2.0353E-003	1.5509E-001	5807	-1.1057E-002	8.3306E-003	-7.6770E-003	4.7562E-002	2.0176E-002
3628	8.0212E-001	2.0346E-003	1.5529E-001	5826	-1.0557E-002	8.0634E-003	-8.4084E-003	4.7978E-002	1.9670E-002
3629	7.9281E-001	2.0551E-003	1.5717E-001	5849	-1.0856E-002	8.3008E-003	-8.5979E-003	4.9617E-002	1.9197E-002
3630	7.6890E-001	2.0265E-003	1.5533E-001	5875	-1.1137E-002	7.7292E-003	-8.5156E-003	4.9817E-002	1.7695E-002
3631	7.3272E-001	2.0062E-003	1.5403E-001	5895	-1.2529E-002	7.0890E-003	-8.4085E-003	4.4669E-002	1.5213E-002
3632	7.0329E-001	1.9921E-003	1.5326E-001	5919	-1.3157E-002	7.3522E-003	-8.1122E-003	4.1598E-002	1.1048E-002
3633	7.0313E-001	1.9873E-003	1.5318E-001	5941	-1.2718E-002	8.3224E-003	-6.9258E-003	4.2655E-002	9.9986E-003
3634	7.1667E-001	1.9764E-003	1.5251E-001	5955	-1.2035E-002	8.5604E-003	-6.4723E-003	4.1186E-002	1.4343E-002
3635	7.2890E-001	1.9927E-003	1.5406E-001	5977	-1.1606E-002	8.1053E-003	-7.7541E-003	4.4944E-002	1.2069E-002
3636	7.3839E-001	1.9277E-003	1.4931E-001	5999	-1.1233E-002	7.9268E-003	-7.4920E-003	4.3422E-002	1.3847E-002
3637	7.4688E-001	1.8943E-003	1.4710E-001	6030	-1.0999E-002	7.6142E-003	-6.6436E-003	4.2917E-002	1.6027E-002
3638	7.6136E-001	1.9618E-003	1.5258E-001	6049	-1.1270E-002	6.9506E-003	-8.1875E-003	4.5935E-002	1.9568E-002
3639	7.7165E-001	1.9822E-003	1.5448E-001	6073	-1.1544E-002	8.0147E-003	-8.0610E-003	4.7576E-002	1.9054E-002
3640	7.8077E-001	1.9283E-003	1.5047E-001	6089	-1.0229E-002	7.9190E-003	-7.0577E-003	4.6038E-002	1.6727E-002
3641	7.8435E-001	1.9159E-003	1.4970E-001	6106	-9.8119E-003	7.9068E-003	-7.9138E-003	4.4349E-002	1.7559E-002
3642	7.7539E-001	1.9016E-003	1.4879E-001	6123	-1.0350E-002	7.3598E-003	-7.9060E-003	4.5136E-002	1.8078E-002
