# lambda	flux	error	variance	counts	eig1	eig2	eig3	eig4	eig5
3550	7.7529E-001	2.4019E-003	1.5996E-001	4435	-1.2937E-002	1.4765E-003	2.2445E-003	4.5225E-002	-2.4556E-002
3551	7.7560E-001	2.4084E-003	1.6341E-001	4604	-1.2907E-002	8.0563E-004	2.9419E-003	4.9070E-002	-2.8270E-002
3552	7.6848E-001	2.4002E-003	1.6565E-001	4763	-1.3342E-002	6.7604E-004	2.6571E-003	4.6526E-002	-2.8194E-002
3553	7.6341E-001	2.3867E-003	1.6767E-001	4936	-1.3948E-002	4.8609E-004	4.8151E-003	4.4751E-002	-2.2575E-002
3554	7.5302E-001	2.3507E-003	1.6782E-001	5097	-1.3742E-002	1.4260E-003	5.6453E-003	4.4509E-002	-2.5605E-002
3555	7.4151E-001	2.3363E-003	1.6951E-001	5264	-1.4281E-002	6.0313E-004	3.2836E-003	4.4800E-002	-2.1327E-002
3556	7.4002E-001	2.3702E-003	1.7476E-001	5436	-1.4225E-002	6.8745E-004	2.2653E-003	5.2373E-002	-1.9898E-002
3557	7.4955E-001	2.3090E-003	1.7289E-001	5606	-1.3818E-002	2.1554E-003	2.4606E-003	5.0378E-002	-2.3513E-002
3558	7.5511E-001	2.2786E-003	1.7284E-001	5754	-1.3729E-002	1.2937E-003	5.0301E-003	4.9414E-002	-2.3374E-002
3559	7.4718E-001	2.1998E-003	1.6911E-001	5909	-1.3912E-002	2.6732E-004	4.2614E-003	4.1875E-002	-1.9108E-002
3560	7.5280E-001	2.2390E-003	1.7426E-001	6058	-1.4302E-002	5.5696E-004	4.8220E-003	4.5556E-002	-2.2021E-002
3561	7.5400E-001	2.2043E-003	1.7374E-001	6212	-1.3759E-002	1.3981E-003	4.6795E-003	4.5581E-002	-2.0732E-002
3562	7.5983E-001	2.1918E-003	1.7502E-001	6376	-1.3462E-002	9.7328E-004	4.4095E-003	4.7552E-002	-2.2614E-002
3563	7.6387E-001	2.1633E-003	1.7466E-001	6518	-1.3753E-002	1.0960E-003	3.4747E-003	4.6763E-002	-2.1952E-002
3564	7.6542E-001	2.1899E-003	1.7907E-001	6686	-1.4033E-002	2.0757E-003	4.7908E-003	4.8378E-002	-2.2314E-002
3565	7.4115E-001	2.1396E-003	1.7694E-001	6839	-1.3920E-002	9.0975E-004	4.5104E-003	4.8609E-002	-2.1641E-002
3566	7.1317E-001	2.1491E-003	1.7972E-001	6993	-1.4087E-002	-2.6127E-004	4.5426E-003	4.8281E-002	-1.7670E-002
3567	7.0872E-001	2.1326E-003	1.8020E-001	7140	-1.4485E-002	-6.9601E-005	5.9692E-003	4.7247E-002	-1.8585E-002
3568	7.1761E-001	2.1210E-003	1.8087E-001	7272	-1.4709E-002	8.0874E-004	5.1214E-003	4.3601E-002	-1.7219E-002
3569	7.1414E-001	2.0990E-003	1.8037E-001	7384	-1.4648E-002	9.9197E-004	5.1268E-003	4.4266E-002	-1.7972E-002
3570	7.0640E-001	2.1012E-003	1.8218E-001	7517	-1.4576E-002	5.8309E-004	5.5166E-003	4.7505E-002	-1.8186E-002
3571	7.0062E-001	2.0887E-003	1.8264E-001	7646	-1.4676E-002	-1.0113E-004	6.1646E-003	4.6399E-002	-1.6894E-002
3572	7.0730E-001	2.0980E-003	1.8508E-001	7782	-1.4772E-002	9.6704E-004	7.5493E-003	4.8603E-002	-1.7561E-002
3573	7.1589E-001	2.0573E-003	1.8289E-001	7903	-1.4433E-002	4.1957E-004	5.4514E-003	4.7315E-002	-1.9929E-002
3574	7.2678E-001	2.0103E-003	1.8012E-001	8028	-1.4004E-002	5.5442E-004	3.7451E-003	4.4068E-002	-2.0834E-002
3575	7.3005E-001	2.0024E-003	1.8089E-001	8161	-1.3885E-002	-6.9482E-005	4.0120E-003	4.6699E-002	-2.0637E-002
3576	7.3166E-001	2.0103E-003	1.8315E-001	8301	-1.4302E-002	-1.1421E-005	4.8014E-003	4.6383E-002	-1.8618E-002
3577	7.3244E-001	1.9702E-003	1.8063E-001	8406	-1.4047E-002	6.4341E-004	4.9314E-003	4.5115E-002	-2.1464E-002
3578	7.3143E-001	1.9631E-003	1.8132E-001	8531	-1.3966E-002	7.2454E-004	4.4693E-003	4.5048E-002	-2.0066E-002
3579	7.2564E-001	1.9951E-003	1.8556E-001	8651	-1.4566E-002	8.3579E-004	5.3715E-003	4.5287E-002	-2.0815E-002
3580	7.2134E-001	2.0308E-003	1.9024E-001	8776	-1.5106E-002	6.3671E-005	5.6957E-003	4.5961E-002	-2.1972E-002
3581	7.0635E-001	1.9995E-003	1.8852E-001	8890	-1.5192E-002	-2.5052E-004	7.1599E-003	4.5142E-002	-1.7699E-002
3582	6.9241E-001	1.9546E-003	1.8545E-001	9002	-1.5023E-002	-7.9778E-004	6.2734E-003	4.4386E-002	-1.6663E-002
3583	6.9844E-001	1.9411E-003	1.8521E-001	9103	-1.4877E-002	-3.9961E-004	6.5290E-003	4.3541E-002	-1.7791E-002
3584	7.0124E-001	1.9217E-003	1.8440E-001	9207	-1.4537E-002	2.8082E-004	6.4672E-003	4.4550E-002	-1.9521E-002
3585	6.9129E-001	1.9133E-003	1.8464E-001	9313	-1.4466E-002	-1.3459E-004	5.8293E-003	4.3534E-002	-1.6975E-002
3586	6.7232E-001	1.9335E-003	1.8765E-001	9419	-1.4736E-002	-4.6864E-004	5.8180E-003	4.5970E-002	-1.6847E-002
3587	6.6885E-001	1.8662E-003	1.8208E-001	9519	-1.4452E-002	-3.6767E-004	5.1607E-003	4.4610E-002	-1.5114E-002
3588	6.7555E-001	1.8746E-003	1.8365E-001	9598	-1.4443E-002	3.2604E-005	4.2124E-003	4.4756E-002	-1.4847E-002
3589	6.8807E-001	1.8979E-003	1.8678E-001	9684	-1.4461E-002	2.7106E-004	5.1483E-003	4.4051E-002	-1.6766E-002
3590	7.0544E-001	1.8545E-003	1.8350E-001	9791	-1.4065E-002	4.9387E-005	4.9619E-003	4.3385E-002	-1.7613E-002
3591	7.2534E-001	1.8436E-003	1.8322E-001	9877	-1.3851E-002	4.4569E-004	4.8954E-003	4.6808E-002	-1.8525E-002
3592	7.3978E-001	1.8432E-003	1.8394E-001	9959	-1.3790E-002	1.0691E-003	4.6974E-003	4.6696E-002	-2.0423E-002
3593	7.4415E-001	1.8432E-003	1.8478E-001	10051	-1.3902E-002	7.8465E-004	5.5208E-003	4.5196E-002	-1.9459E-002
3594	7.4295E-001	1.8196E-003	1.8316E-001	10132	-1.3603E-002	5.9516E-004	4.8367E-003	4.3104E-002	-1.8574E-002
3595	7.4555E-001	1.8098E-003	1.8295E-001	10219	-1.3641E-002	6.6753E-004	3.7153E-003	4.3976E-002	-1.8370E-002
3596	7.5548E-001	1.8013E-003	1.8278E-001	10297	-1.3540E-002	1.1130E-003	5.3840E-003	4.6522E-002	-1.9855E-002
