# lambda	flux	error	variance	counts	eig1	eig2	eig3	eig4	eig5
3350	3.6491E-001	1.2044E-003	4.0092E-002	1108	-2.6325E-003	-1.6414E-002	2.8078E-002	-1.7092E-002	-1.2261E-002
3351	4.8889E-001	2.0312E-003	7.0384E-002	1201	8.8553E-004	-4.3309E-002	7.9567E-002	-7.4084E-002	-3.7112E-002
3352	4.9921E-001	1.9948E-003	7.1969E-002	1302	7.3080E-004	-4.2346E-002	7.9257E-002	-8.4245E-002	-4.2370E-002
3353	3.9207E-001	1.2795E-003	4.7699E-002	1390	-4.7540E-004	-2.5078E-002	3.9990E-002	-2.8789E-002	-1.7693E-002
3354	3.3974E-001	1.1852E-003	4.5974E-002	1505	-1.3817E-004	-1.9855E-002	-9.9927E-003	-7.9103E-003	-3.1698E-002
3355	3.5680E-001	1.1804E-003	4.7525E-002	1621	-6.4174E-004	-2.6409E-002	4.4828E-003	-1.8588E-002	-2.4131E-002
3356	2.8653E-001	1.2530E-003	5.2269E-002	1740	-5.5964E-003	-1.0451E-002	-2.8109E-002	2.9631E-002	-6.0850E-005
3357	3.2984E-001	1.1270E-003	4.8605E-002	1860	-3.0271E-003	-1.7474E-002	-3.8383E-003	1.7952E-003	-3.8818E-003
3358	3.7276E-001	1.3580E-003	6.0232E-002	1967	-2.3964E-004	-3.5462E-002	3.1044E-002	-3.5764E-002	-4.6926E-002
3359	3.5311E-001	1.3189E-003	5.9874E-002	2061	8.6849E-004	-3.6601E-002	3.9680E-002	-2.6999E-002	-4.1274E-002
3360	2.4774E-001	1.1339E-003	5.2814E-002	2169	-3.1321E-004	-2.7105E-002	5.1872E-003	1.7295E-002	1.2118E-002
3361	2.7397E-001	1.1419E-003	5.4563E-002	2283	8.6970E-004	-2.6989E-002	2.9322E-002	-6.0004E-003	-2.7630E-002
3362	2.4846E-001	1.0453E-003	5.1264E-002	2405	1.2998E-003	-1.8816E-002	6.4438E-003	4.0287E-003	-2.3189E-002
3363	2.7707E-001	1.0684E-003	5.3432E-002	2501	5.0869E-005	-1.9134E-002	1.4704E-003	-1.2951E-002	-3.3823E-002
3364	2.8549E-001	1.0905E-003	5.5690E-002	2608	-1.0440E-003	-2.4898E-002	-1.6819E-002	1.6932E-003	-7.8333E-003
3365	2.8008E-001	1.1125E-003	5.7856E-002	2705	-3.6072E-003	-2.5317E-002	-2.5826E-002	1.2851E-002	-1.2263E-002
3366	3.1414E-001	1.1462E-003	6.0874E-002	2821	-3.2012E-003	-3.4189E-002	1.0173E-002	-8.5302E-003	-2.8601E-002
3367	2.9095E-001	1.0993E-003	5.9354E-002	2915	-2.6731E-003	-2.7708E-002	-1.1032E-002	1.1540E-002	-2.3966E-003
3368	2.6889E-001	1.0852E-003	5.9526E-002	3009	-3.0329E-003	-2.7824E-002	-1.7662E-002	1.9103E-002	-2.2459E-003
3369	2.5432E-001	1.0812E-003	6.0335E-002	3114	-4.7691E-003	-2.2867E-002	-2.7082E-002	2.7568E-002	2.1026E-002
3370	2.5721E-001	1.0960E-003	6.1933E-002	3193	-2.6620E-003	-3.1549E-002	-1.8061E-002	7.8002E-003	-8.3973E-003
3371	2.4769E-001	1.0846E-003	6.2205E-002	3290	-2.1663E-003	-3.0363E-002	-1.5328E-002	1.6895E-002	-5.3294E-003
3372	2.2283E-001	1.0807E-003	6.2853E-002	3383	-8.9639E-004	-2.2541E-002	-3.6640E-002	4.2423E-002	2.5112E-002
3373	2.5968E-001	1.0666E-003	6.2873E-002	3475	-5.7690E-004	-2.9896E-002	-1.3006E-002	6.6298E-003	1.2122E-003
3374	2.9123E-001	1.1029E-003	6.5800E-002	3559	-1.4879E-003	-3.5851E-002	1.7133E-002	-2.0630E-002	-8.6643E-003
3375	3.1956E-001	1.1360E-003	6.8625E-002	3649	-2.6122E-003	-3.5700E-002	1.9197E-002	-5.8994E-002	-3.6372E-002
3376	3.2436E-001	1.1472E-003	7.0015E-002	3725	-2.1829E-003	-4.3534E-002	7.3493E-003	-3.0040E-002	-4.0966E-002
3377	3.4132E-001	1.2095E-003	7.4484E-002	3792	-2.0635E-003	-5.2348E-002	1.5160E-002	-1.8914E-002	-3.2780E-002
3378	3.1716E-001	1.1100E-003	6.9178E-002	3884	-3.7114E-003	-4.0892E-002	-7.0299E-003	-7.4755E-003	-1.4942E-002
3379	2.9416E-001	1.0559E-003	6.6474E-002	3963	-3.4647E-003	-3.0762E-002	-1.8984E-002	1.5260E-003	-4.5701E-003
3380	3.1178E-001	1.1143E-003	7.0766E-002	4033	-5.0967E-003	-3.9612E-002	7.9647E-003	-2.1266E-003	-2.4359E-002
3381	3.0443E-001	1.0824E-003	6.9483E-002	4121	-2.3788E-003	-3.8528E-002	1.2092E-002	1.2938E-002	-1.2161E-002
3382	3.0573E-001	1.0469E-003	6.7697E-002	4182	-1.2683E-003	-3.4515E-002	1.7664E-002	1.6481E-002	-2.5368E-002
3383	3.1159E-001	1.0577E-003	6.8753E-002	4226	-4.2902E-003	-3.7259E-002	1.0905E-002	9.8398E-003	-2.6756E-002
